Voltage	Current	Scan No.
V	A	Scan
-0.41259765625	-5.7977294921875E-6	1
-0.4150390625	-5.63140869140625E-6	1
-0.41748046875	-6.07208251953125E-6	1
-0.419921875	-6.3934326171875E-6	1
-0.42236328125	-6.8084716796875E-6	1
-0.4248046875	-6.591796875E-6	1
-0.42724609375	-7.14111328125E-6	1
-0.4296875	-6.9610595703125E-6	1
-0.43212890625	-6.7901611328125E-6	1
-0.4345703125	-6.7657470703125E-6	1
-0.43701171875	-6.817626953125E-6	1
-0.439453125	-6.451416015625E-6	1
-0.44189453125	-6.7962646484375E-6	1
-0.4443359375	-6.82373046875E-6	1
-0.44677734375	-6.8603515625E-6	1
-0.44921875	-7.1533203125E-6	1
-0.45166015625	-7.1014404296875E-6	1
-0.4541015625	-7.177734375E-6	1
-0.45654296875	-7.281494140625E-6	1
-0.458984375	-7.5927734375E-6	1
-0.46142578125	-6.8206787109375E-6	1
-0.4638671875	-6.9854736328125E-6	1
-0.46630859375	-7.21435546875E-6	1
-0.46875	-7.110595703125E-6	1
-0.47119140625	-7.489013671875E-6	1
-0.4736328125	-7.635498046875E-6	1
-0.47607421875	-7.1868896484375E-6	1
-0.478515625	-7.550048828125E-6	1
-0.48095703125	-7.4462890625E-6	1
-0.4833984375	-7.513427734375E-6	1
-0.48583984375	-7.7239990234375E-6	1
-0.48828125	-7.6416015625E-6	1
-0.49072265625	-7.415771484375E-6	1
-0.4931640625	-7.7362060546875E-6	1
-0.49560546875	-7.879638671875E-6	1
-0.498046875	-7.6568603515625E-6	1
-0.50048828125	-7.8521728515625E-6	1
-0.5029296875	-7.781982421875E-6	1
-0.50537109375	-7.8033447265625E-6	1
-0.5078125	-7.8887939453125E-6	1
-0.51025390625	-7.7911376953125E-6	1
-0.5126953125	-7.7301025390625E-6	1
-0.51513671875	-7.9986572265625E-6	1
-0.517578125	-7.757568359375E-6	1
-0.52001953125	-7.8826904296875E-6	1
-0.5224609375	-8.2061767578125E-6	1
-0.52490234375	-8.0535888671875E-6	1
-0.52734375	-7.94677734375E-6	1
-0.52978515625	-8.258056640625E-6	1
-0.5322265625	-8.3984375E-6	1
-0.53466796875	-7.89794921875E-6	1
-0.537109375	-8.21533203125E-6	1
-0.53955078125	-8.3038330078125E-6	1
-0.5419921875	-8.3892822265625E-6	1
-0.54443359375	-8.4228515625E-6	1
-0.546875	-8.2122802734375E-6	1
-0.54931640625	-8.233642578125E-6	1
-0.5517578125	-8.7646484375E-6	1
